QB DVOA,QB,PRE W/L,TM,DAVE O,D,RUSH OFF,RUSH DEF,QB DVOA1,QB1,PRE W/L1,TM1,DAVE O,D1,RUSH OFF,PASS OFF,RUSH DEF,ATS,QBE,DIFDW1,DIFDW1O,ST,O DIFF,D DIFF,QBRUND,Eyds/GM,ID,12-6.5% MOVE,NET Yds/Drive,NET Pts/Drive,NET TOs/Drive,NET Avg. Lead,NET LOS/Drive,OFF TDs/Drive,OFF Stops/Drive,d3Outs/Drive,TTL Open O/U,TTL Close O/U,2nd HF SIDE,1st HF Margin,1st HF ATS Margin,INT/Drive,BOFF,BETTER SP,AVG TT,AVG CAY,AVG IAY,AVG AYD,AVG AGG,AYTS,AVG ATT,AVG YDS,AVG TD,AVG INT,AVG RATE,AVGCOMP,AVG xCOMP,AVG YPP,AVG xYPP,AVG xYards,AVG YPP +/-,TEAM,closeline,push
0.005,55.5,L,-0.269,-0.096,0.12,0.08,0.321,0.108,64.5,L,-0.085,0.014,0.06,0.256,-0.175,0.215,0,0,-0.07,-0.126,-0.065,0.023,-0.036,0,0,20167CLE9.5CIN1731,0,-4.746478873,-0.901408451,0.042253521,-4.774647887,-7.591549296,0.169014085,0.464788732,0.169014085,0,0,1,-11,-1.5,0.070422535,0,0,2.730526316,6.049122807,7.657017544,-1.607894737,21.06929825,-1.379824561,38,267.6666667,1,0.333333333,91.36842105,25.25438596,22.90147368,7.043859649,6.612632474,252.6474035,0.431227175,CLE,9.5,0
0.108,64.5,L,-0.085,0.014,0.06,0.256,0.215,0.005,55.5,L,-0.269,-0.096,0.12,0.08,-0.127,0.321,1,1,-0.126,-0.07,-0.049,-0.002,-0.099,0,18.33333333,20167CIN-9.5CLE3117,0,0.707837302,-0.56671627,-0.048611111,-3.618675595,-4.100694444,0.15625,0.5,0.253968254,0,0,0,11,1.5,0.03125,1,1,2.473211009,7.025688073,8.337155963,-1.31146789,16.51605505,-0.956880734,36.33333333,292.8333333,1,0.333333333,97.19633028,25.39908257,23.90726147,8.059633028,7.648652187,286.6990229,0.41098084,CIN,-9.5,0
-0.028,67.7,W,0.186,0.095,-0.06,0.159,-0.002,-0.261,43,W,-0.058,-0.065,0.007,-0.118,0.094,0.032,0,1,0.16,0.079,0.033,0.095,0.093,0,29,20167BUF-3MIA2528,0,-1.004261364,0.67282197,-0.104166667,5.431107955,2.955965909,0.265625,0.453125,0.272727273,0,0,0,4,1,0.03125,1,1,3.040792683,6.966463415,9.295731707,-2.329268293,15.24329268,-0.082317073,27.33333333,179.3333333,1.333333333,0.333333333,92.42195122,17.98170732,18.15064024,6.56097561,6.671505106,192.4666951,-0.110529496,BUF,-3,0
-0.261,43,W,-0.058,-0.065,0.007,-0.118,0.032,-0.028,67.7,W,0.186,0.095,-0.06,0.159,0.112,-0.002,1,0,0.079,0.16,0.02,0.028,0.039,0,14.33333333,20167MIA3BUF2825,0,-4.710504202,-0.281932773,0.068907563,-3.949159664,-0.917647059,0.185714286,0.485714286,0.132352941,0,0,1,-4,-1,0.1,0,0,2.688670213,6.286702128,8.005319149,-1.718617021,14.90319149,-0.515425532,31.33333333,254,1,1.166666667,86.60638298,22.54255319,20.96467553,8.106382979,7.821658497,260.1946862,0.284724481,MIA,3,0
0.189,62.7,L,-0.007,0.121,0.14,0.392,0.317,-0.166,50.5,W,-0.091,-0.143,-0.042,-0.044,-0.248,-0.078,1,1,0.021,-0.005,0.02,0.166,-0.179,0,3.166666667,20167OAK1JAC3316,0,-6.854646206,-0.127024723,-0.071398124,-0.345375107,2.835890878,0.264705882,0.470588235,0.086956522,1,0,1,14,15,0.044117647,1,1,2.518678414,6.292070485,8.246696035,-1.954625551,20.26167401,-1.039207048,37.83333333,268,2,0.5,99.14493392,25.55066079,23.50925991,7.083700441,6.693833094,257.25963,0.389867347,OAK,1,0
-0.166,50.5,W,-0.091,-0.143,-0.042,-0.044,-0.078,0.189,62.7,L,-0.007,0.121,0.14,0.392,0.006,0.317,0,0,-0.005,0.021,0.015,-0.06,0.03,0,25.2,20167JAC-1OAK1633,0,-3.666666667,-0.548280423,0.086640212,-5.361772487,0.442460317,0.196428571,0.428571429,0.240740741,1,0,0,-14,-15,0.125,0,0,2.571502591,5.723316062,8.629015544,-2.905699482,22.27564767,-0.150259067,38.6,264.2,1.6,1.4,80.24093264,24.2746114,24.72978238,6.844559585,6.893872357,272.0455596,-0.049312771,JAC,-1,0
-0.078,68.2,L,-0.15,-0.041,0.177,0.041,0.32,-0.006,54.3,W,0.008,0.04,-0.052,0.156,0.03,-0.012,1,1,-0.124,0.093,0.083,-0.025,-0.205,1,27.5,20167IND2.5TEN3426,0,-5.601173021,0.004887586,-0.005865103,-0.704056696,2.768817204,0.242424242,0.378787879,0.209677419,0,0,1,4,6.5,0.060606061,0,1,2.945991561,7.154852321,8.507172996,-1.352320675,21.52362869,-0.646413502,39.5,286.8333333,1.833333333,0.666666667,94.22405063,25.66666667,22.69723629,7.261603376,6.673911681,266.1282321,0.587691694,IND,2.5,0
-0.006,54.3,W,0.008,0.04,-0.052,0.156,-0.012,-0.078,68.2,L,-0.15,-0.041,0.177,0.041,0.004,0.32,0,0,0.093,-0.124,-0.105,0.083,0.143,0,31.33333333,20167TEN-2.5IND2634,0,2.663398693,0.209150327,0.037114846,-1.069094304,0.530578898,0.220588235,0.470588235,0.301587302,0,0,0,-4,-6.5,0.088235294,1,0,2.667830688,7.651851852,9.256084656,-1.604232804,22.75079365,-0.108994709,31.5,228.6666667,1.666666667,1,88.05343915,19.97883598,19.53510053,7.259259259,7.1249019,225.5390476,0.134357359,TEN,-2.5,0
-0.205,57,L,0.046,-0.102,-0.141,-0.039,0.023,-0.268,52.1,L,-0.302,-0.136,0.148,-0.179,-0.076,0.501,0,1,-0.026,-0.28,-0.006,-0.082,0.116,0,9.666666667,20167BAL1NYJ1624,0,4.681996086,0.018199609,-0.074951076,-0.402152642,-2.017612524,0.136986301,0.506849315,0.242857143,1,1,0,2,3,0.054794521,1,1,2.594393939,5.614015152,8.408712121,-2.79469697,20.82651515,-0.700378788,44,264.8333333,0.833333333,0.666666667,78.94204545,27.66287879,27.89635606,6.018939394,6.061175827,270.1511515,-0.042236433,BAL,1,0
-0.268,52.1,L,-0.302,-0.136,0.148,-0.179,0.501,-0.205,57,L,0.046,-0.102,-0.141,-0.039,-0.103,0.023,1,0,-0.28,-0.026,-0.017,-0.14,-0.198,0,11,20167NYJ-1BAL2416,0,-5.027419355,-0.851075269,0.159139785,-4.307258065,-3.022580645,0.14516129,0.419354839,0.2,1,1,1,-2,-3,0.193548387,0,0,2.40058296,6.532286996,9.098206278,-2.565919283,20.63004484,0.284753363,37.16666667,240.1666667,0.833333333,1.833333333,66.77847534,21.30044843,22.67307175,6.461883408,6.525444892,242.1421345,-0.063561484,NYJ,-1,0
